"Site Crawled","https://www.splashtop.com/"
"Date","2024-10-12"
"Time","20:01:13"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Outside <head>","0","0.00%","193","Internal URLs with 2xx response"
""
"Hreflang"
"All","181","100.00%","181","Internal pages with 2xx response"
"Contains hreflang","181","100.00%","181","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","181","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","181","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","181","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","181","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","181","Internal pages with 2xx response"
"Noindex Return Links","3","1.66%","181","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","181","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","181","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","181","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","181","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","181","Internal pages with 2xx response"
"Missing","0","0.00%","181","Internal pages with 2xx response"
"Outside <head>","0","0.00%","181","Internal pages with 2xx response"
""
"JavaScript"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","181","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","181","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","181","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","181","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","181","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","181","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","181","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","181","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","181","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","181","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","181","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","181","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","181","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","181","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","181","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0.00%","181","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0.00%","181","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0.00%","181","Internal HTML pages with 2xx response"
""
"Links"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","0","0.00%","181","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0.00%","181","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","0","0.00%","181","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","2","1.10%","181","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","74","40.88%","181","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","177","97.79%","181","Internal HTML pages with 2xx response"
"Pages With High Internal Outlinks","0","0.00%","181","Internal HTML pages with 2xx response"
"Follow & Nofollow Internal Inlinks To Page","0","0.00%","181","Internal HTML pages with 2xx response"
"Internal Nofollow Inlinks Only","0","0.00%","181","Internal HTML pages with 2xx response"
"Outlinks To Localhost","0","0.00%","181","Internal HTML pages with 2xx response"
"Non-Indexable Page Inlinks Only","0","0.00%","181","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","191","Internal HTML URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","191","Internal HTML URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
"Contains Structured Data","0","0.00%","181","Internal HTML pages with 2xx response"
"Missing","0","0.00%","181","Internal HTML pages with 2xx response"
"Validation Errors","0","0.00%","181","Internal HTML pages with 2xx response"
"Validation Warnings","0","0.00%","181","Internal HTML pages with 2xx response"
"Rich Result Validation Errors","0","0.00%","181","Internal HTML pages with 2xx response"
"Rich Result Validation Warnings","0","0.00%","181","Internal HTML pages with 2xx response"
"Parse Errors","0","0.00%","181","Internal HTML pages with 2xx response"
"Microdata URLs","0","0.00%","181","Internal HTML pages with 2xx response"
"JSON-LD URLs","0","0.00%","181","Internal HTML pages with 2xx response"
"RDFa URLs","0","0.00%","181","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","0","0.00%","181","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","194","100.00%","194","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","194","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","194","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","194","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","194","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","194","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","194","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","194","Internal HTML/XML pages"
""
"PageSpeed"
"All","181","100.00%","181","Internal HTML URLs with 2xx response"
"Eliminate Render-Blocking Resources","0","0.00%","181","Internal HTML URLs with 2xx response"
"Properly Size Images","0","0.00%","181","Internal HTML URLs with 2xx response"
"Defer Offscreen Images","0","0.00%","181","Internal HTML URLs with 2xx response"
"Minify CSS","0","0.00%","181","Internal HTML URLs with 2xx response"
"Minify JavaScript","0","0.00%","181","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","0","0.00%","181","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","0","0.00%","181","Internal HTML URLs with 2xx response"
"Efficiently Encode Images","0","0.00%","181","Internal HTML URLs with 2xx response"
"Serve Images in Next-Gen Formats","0","0.00%","181","Internal HTML URLs with 2xx response"
"Enable Text Compression","0","0.00%","181","Internal HTML URLs with 2xx response"
"Preconnect to Required Origins","0","0.00%","181","Internal HTML URLs with 2xx response"
"Reduce Server Response Times (TTFB)","0","0.00%","181","Internal HTML URLs with 2xx response"
"Avoid Multiple Page Redirects","0","0.00%","181","Internal HTML URLs with 2xx response"
"Preload Key Requests","0","0.00%","181","Internal HTML URLs with 2xx response"
"Use Video Formats for Animated Content","0","0.00%","181","Internal HTML URLs with 2xx response"
"Avoid Excessive DOM Size","0","0.00%","181","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","0","0.00%","181","Internal HTML URLs with 2xx response"
"Serve Static Assets with an Efficient Cache Policy","0","0.00%","181","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","0","0.00%","181","Internal HTML URLs with 2xx response"
"Ensure Text Remains Visible During Webfont Load","0","0.00%","181","Internal HTML URLs with 2xx response"
"Image Elements Do Not Have Explicit Width & Height","0","0.00%","181","Internal HTML URLs with 2xx response"
"Avoid Large Layout Shifts","0","0.00%","181","Internal HTML URLs with 2xx response"
"Avoid Serving Legacy JavaScript to Modern Browsers","0","0.00%","181","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","181","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","181","100.00%","181",""
"Viewport Not Set","0","0.00%","181",""
"Target Size","0","0.00%","181",""
"Content Not Sized Correctly","0","0.00%","181",""
"Illegible Font Size","0","0.00%","181",""
"Contains Unsupported Plugins","0","0.00%","181",""
"Mobile Alternate Link","0","0.00%","181",""
""
"Custom Search"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","193","100.00%","193","Internal HTML pages with 2xx response"
""
"Analytics"
"All","193","100.00%","193","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","193","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","193","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","193","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","193","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","193","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","193","100.00%","193","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","193","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","193","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","193","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","193","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","193","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","193","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","193","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","193","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","193","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","193","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","193","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","205","100.00%","205","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","205","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","205","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","205","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","205","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","205","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","205","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","205","Internal URLs with 2xx response"
"HTML Document Over 15MB","0","0.00%","205","Internal URLs with 2xx response"
"Resource Over 15MB","0","0.00%","205","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","205","Internal URLs with 2xx response"
""
"Link Metrics"
"All","194","100.00%","194","Internal HTML/PDF pages"
""
""
"Depth (Clicks from Start URL)"
"0","1","0.55%","181","Internal HTML pages with 2xx response"
"1","70","38.67%","181","Internal HTML pages with 2xx response"
"2","110","60.77%","181","Internal HTML pages with 2xx response"
"3","0","0.00%","181","Internal HTML pages with 2xx response"
"4","0","0.00%","181","Internal HTML pages with 2xx response"
"5","0","0.00%","181","Internal HTML pages with 2xx response"
"6","0","0.00%","181","Internal HTML pages with 2xx response"
"7","0","0.00%","181","Internal HTML pages with 2xx response"
"8","0","0.00%","181","Internal HTML pages with 2xx response"
"9","0","0.00%","181","Internal HTML pages with 2xx response"
"10+","0","0.00%","181","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://www.splashtop.com/","181","100.00%","181","Internal HTML pages with 2xx response"
"https://www.splashtop.com/products/sos","180","99.45%","181","Internal HTML pages with 2xx response"
